actual,1-day ahead,2-day ahead,3-day ahead,4-day ahead,5-day ahead
0.19702512973437614,0.21243999898433685,0.2074485719203949,0.20798055827617645,0.2138930708169937,0.21974045038223267
0.20865169990059884,0.36930835247039795,0.37247297167778015,0.3687041401863098,0.36016884446144104,0.3542986512184143
0.3917646528212584,0.33347493410110474,0.33680734038352966,0.34392818808555603,0.3489108979701996,0.34732282161712646
0.33855808244279123,0.3546673655509949,0.36132699251174927,0.378375381231308,0.3923431932926178,0.390760600566864
0.24349073022678308,0.36723363399505615,0.36268430948257446,0.32254648208618164,0.27640071511268616,0.2650063633918762
0.32192342930316625,0.3955259919166565,0.38971641659736633,0.33558666706085205,0.2731577157974243,0.2575497031211853
0.31270273759873785,0.3303043842315674,0.3238253593444824,0.28461790084838867,0.2418454885482788,0.23316305875778198
0.35030580877489,0.27376461029052734,0.2670823037624359,0.24239657819271088,0.21832792460918427,0.21585965156555176
0.2791243504437676,0.2961484491825104,0.2904883325099945,0.26508086919784546,0.23882323503494263,0.23471581935882568
0.25283876855811777,0.31740614771842957,0.3129640817642212,0.28781452775001526,0.26044976711273193,0.2549212574958801
0.30036559094140985,0.36643528938293457,0.3609265983104706,0.316892147064209,0.2668308615684509,0.2548621594905853
0.31341066103511583,0.4332762360572815,0.4273948073387146,0.36247149109840393,0.2865232527256012,0.26649209856987
0.32747008238619274,0.42512834072113037,0.4195197820663452,0.35827890038490295,0.28667035698890686,0.26779982447624207
0.2431091325218523,0.31777530908584595,0.3135303854942322,0.28928717970848083,0.26272863149642944,0.25736522674560547
0.16854635594089698,0.31690943241119385,0.3127858638763428,0.289372056722641,0.26372411847114563,0.25855475664138794
0.3552568510716572,0.32596737146377563,0.32167014479637146,0.294695645570755,0.26477402448654175,0.2584027945995331
0.22353179951396035,0.3608584702014923,0.35870885848999023,0.3323470950126648,0.30087748169898987,0.2921314537525177
0.3797451232754999,0.3611633777618408,0.35891056060791016,0.3319627642631531,0.29986706376075745,0.2910071313381195
0.2800913888918367,0.36167091131210327,0.35993269085884094,0.33546245098114014,0.3059152066707611,0.29740819334983826
0.30414132999402177,0.3455576002597809,0.3505530059337616,0.362278014421463,0.37130090594291687,0.369561105966568
0.2202256511480652,0.3374902904033661,0.3402232825756073,0.3433738648891449,0.3439668118953705,0.3414718806743622
0.29994685047029807,0.3409518897533417,0.3437412977218628,0.34619277715682983,0.34583860635757446,0.34298861026763916
0.25909909336276454,0.3350713849067688,0.33663955330848694,0.33490076661109924,0.33057183027267456,0.32748740911483765
0.388469116674272,0.31785786151885986,0.3179580271244049,0.3140384554862976,0.30849406123161316,0.3063199520111084
0.28596967381576477,0.3208903968334198,0.32073670625686646,0.3146876096725464,0.30674636363983154,0.3040199875831604
0.21215771172261066,0.2542757987976074,0.24947306513786316,0.23978593945503235,0.23232954740524292,0.23370835185050964
